,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
37,37,mths_since_issue_d:53-64,0.20725754802629678,4.755199571850334e-13,mths_since_issue_d,15.543516559445564,16.0,0.456483440554436,16.0
38,38,mths_since_issue_d:65-84,-0.046125769432697174,0.10762905616520338,mths_since_issue_d,-3.4592547669401608,-3.0,0.45925476694016076,-3.0
39,39,int_rate:<9.548,1.014895455756415,2.2071076200638818e-38,int_rate,76.11324399463778,76.0,-0.11324399463778434,76.0
40,40,int_rate:9.548-12.025,0.5805926010490189,1.3816321319685648e-38,int_rate,43.5422053123584,44.0,0.45779468764160214,44.0
41,41,int_rate:12.025-15.74,0.31191620732363823,2.422979414455669e-17,int_rate,23.3925122624691,23.0,-0.39251226246910065,23.0
42,42,int_rate:15.74-20.281,0.10654045272048941,0.000245733517344989,int_rate,7.99012295031899,8.0,0.009877049681009886,8.0
43,43,mths_since_earliest_cr_line:141-164,0.06220807798002923,0.01290059303243433,mths_since_earliest_cr_line,4.665365866873911,5.0,0.33463413312608914,5.0
44,44,mths_since_earliest_cr_line:165-247,0.0327797817827605,0.10472719393845811,mths_since_earliest_cr_line,2.458357178338822,2.0,-0.45835717833882184,2.0
45,45,mths_since_earliest_cr_line:248-270,0.08875348560385894,0.0007905919049391498,mths_since_earliest_cr_line,6.656169033791035,7.0,0.3438309662089649,7.0
46,46,mths_since_earliest_cr_line:271-352,0.11085038255044712,2.505783372421796e-06,mths_since_earliest_cr_line,8.313351061043798,8.0,-0.3133510610437984,8.0
47,47,mths_since_earliest_cr_line:>352,0.13446624563443824,4.499904061938487e-07,mths_since_earliest_cr_line,10.084449688848855,10.0,-0.08444968884885462,10.0
48,48,inq_last_6mths:0,0.6919494708417735,5.123366700932494e-10,inq_last_6mths,51.893540962687005,52.0,0.10645903731299455,52.0
49,49,inq_last_6mths:1-2,0.5373655822848946,1.346537153982611e-06,inq_last_6mths,40.30034566297965,40.0,-0.3003456629796517,40.0
50,50,inq_last_6mths:3-6,0.34587074306532967,0.001969832900184069,inq_last_6mths,25.93897145585058,26.0,0.06102854414941916,26.0
51,51,open_acc:1-3,0.4107536863298285,0.005150396766239163,open_acc,30.804941900166295,31.0,0.19505809983370526,31.0
52,52,open_acc:4-12,0.35615763958956137,0.012225941285155814,open_acc,26.710449011154918,27.0,0.28955098884508246,27.0
53,53,open_acc:13-17,0.33010661120301577,0.020471679209317473,open_acc,24.756722379855194,25.0,0.2432776201448057,25.0
54,54,open_acc:18-22,0.3317507944884362,0.020638076462664728,open_acc,24.880029783455534,25.0,0.11997021654446627,25.0
55,55,open_acc:23-25,0.33492976818829434,0.023977597888999117,open_acc,25.118440547340075,25.0,-0.11844054734007514,25.0
56,56,open_acc:26-30,0.3004509734566246,0.050375186810491523,open_acc,22.532663952156987,23.0,0.46733604784301264,23.0
57,57,open_acc:>=31,0.30192036146910256,0.07112548576431763,open_acc,22.642862384598658,23.0,0.35713761540134215,23.0
58,58,acc_now_delinq:>=1,0.29929456880409644,0.004531100322507343,acc_now_delinq,22.44593806430797,22.0,-0.44593806430797045,22.0
59,59,annual_inc:20K-30K,-0.00738493489270719,0.8613474120137709,annual_inc,-0.5538416279085638,-1.0,-0.44615837209143616,-1.0
60,60,annual_inc:30K-40K,0.0423785699147703,0.2966924451179843,annual_inc,3.1782292587591376,3.0,-0.17822925875913764,3.0
61,61,annual_inc:40K-50K,0.15031147361542757,0.000216145237756615,annual_inc,11.272780660898416,11.0,-0.272780660898416,11.0
62,62,annual_inc:50K-60K,0.19191383490024855,3.029354314162008e-06,annual_inc,14.392797266810426,14.0,-0.39279726681042604,14.0
63,63,annual_inc:60K-70K,0.3055009168610613,4.28212629435606e-13,annual_inc,22.911390226199206,23.0,0.08860977380079404,23.0
64,64,annual_inc:70K-80K,0.350845914436827,3.030508017534428e-16,annual_inc,26.312090115872248,26.0,-0.3120901158722482,26.0
65,65,annual_inc:80K-90K,0.44026471000335715,7.991360659357353e-23,annual_inc,33.01815483028106,33.0,-0.018154830281062573,33.0
66,66,annual_inc:90K-100K,0.452237225589938,1.5060686819430982e-22,annual_inc,33.91604731260758,34.0,0.08395268739241857,34.0
67,67,annual_inc:100K-125K,0.5231647411553234,4.5101541768671955e-31,annual_inc,39.23533736119496,39.0,-0.23533736119495785,39.0
68,68,annual_inc:125K-150K,0.5954590316873758,2.408921421189816e-31,annual_inc,44.65713025964104,45.0,0.3428697403589567,45.0
69,69,annual_inc:>150K,0.6102967973213717,2.878136420902513e-33,annual_inc,45.769905442178306,46.0,0.23009455782169397,46.0
70,70,mths_since_last_delinq:Missing,0.1879444523941319,0.00012684748471572706,mths_since_last_delinq,14.095108891635935,14.0,-0.09510889163593461,14.0
71,71,mths_since_last_delinq:4-30,0.21228140638166168,2.0154138876128303e-05,mths_since_last_delinq,15.920286555436325,16.0,0.07971344456367468,16.0
72,72,mths_since_last_delinq:31-56,0.25146038668265164,6.291587065172468e-07,mths_since_last_delinq,18.858558936297275,19.0,0.14144106370272524,19.0
73,73,mths_since_last_delinq:>=57,0.2195585604329207,2.2660885286606047e-05,mths_since_last_delinq,16.466045036025072,16.0,-0.4660450360250721,16.0
74,74,dti:<=1.4,0.2456316723880017,0.00552708873094528,dti,18.42142784977263,18.0,-0.4214278497726305,18.0
75,75,dti:1.4-3.5,0.3413242406721178,4.732538146952106e-06,dti,25.598001315513493,26.0,0.40199868448650733,26.0
76,76,dti:3.5-7.7,0.34602736934465533,1.0322751581447743e-07,dti,25.950717822578966,26.0,0.049282177421034135,26.0
77,77,dti:7.7-10.5,0.29714445427807823,4.135401989809701e-06,dti,22.28468776940615,22.0,-0.28468776940615115,22.0
78,78,dti:10.5-16.1,0.2214467170430459,0.0004016952697697164,dti,16.60764949779639,17.0,0.3923505022036089,17.0
79,79,dti:16.1-20.3,0.14618901087800712,0.019498192205008705,dti,10.963611858917501,11.0,0.036388141082499104,11.0
80,80,dti:20.3-21.7,0.11618881028895868,0.07401067553517567,dti,8.713712547248536,9.0,0.2862874527514645,9.0
81,81,dti:21.7-22.4,0.10907504393855795,0.11349687981820127,dti,8.180207513919418,8.0,-0.18020751391941836,8.0
82,82,dti:22.4-35,0.03638135170170142,0.556392148829534,dti,2.728461028394774,3.0,0.2715389716052261,3.0
83,83,mths_since_last_record:Missing,0.08819480569907427,6.33791518321593e-05,mths_since_last_record,6.614270196165356,7.0,0.3857298038346437,7.0
84,84,mths_since_last_record:3-20,0.19252115916730694,0.03981335190951824,mths_since_last_record,14.438344243950084,14.0,-0.438344243950084,14.0
85,85,mths_since_last_record:21-31,0.1232043969915117,0.1261391558002504,mths_since_last_record,9.23985448573911,9.0,-0.2398544857391105,9.0
86,86,mths_since_last_record:32-80,0.30137582086580617,3.6696863342036357e-20,mths_since_last_record,22.602023940039075,23.0,0.397976059960925,23.0
87,87,mths_since_last_record:81-86,-0.017697813914236533,0.7880144601653367,mths_since_last_record,-1.3272677702769058,-1.0,0.3272677702769058,-1.0
88,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
89,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
90,2,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
91,3,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
92,4,addr_state:ND_NE_IA_NV_AL_FL,0.0,,addr_state,0.0,0.0,0.0,0.0
93,5,purpose:sm_b__edu__mov__other__house__med__re_e__wedding__vacation,0.0,,purpose,0.0,0.0,0.0,0.0
94,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
95,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
96,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
97,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
98,10,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
99,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
100,12,open_acc:0,0.0,,open_acc,0.0,0.0,0.0,0.0
101,13,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
102,14,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
103,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
104,16,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
105,17,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
